第一次,第二次
"近义词汉语:风景,景色,景致,景,色,山水,风光,光景,风月,风物,景物,景点,景观,山色,青山绿水,山山水水,山光水色法语","近义词汉语:风景,景色,景致,景,色,山水,风光,光景,风月,风物,景物,景点,景观,山色,青山绿水,山山水水,山光水色法语:paysage,site,vue英语:landscape,scenery,view("
"近义词汉语:概况,概貌,大概,概观,概略,大要,大略,崖略,轮廓,简况,廓,外廓德语","近义词汉语:概况,概貌,大概,概观,概略,大要,大略,崖略,轮廓,简况,廓,外廓德语:überblicken,Überblick,Übersicht,allgemeineLage法语:situationgénérale,aperçu英语:generalsituation,survey反义词汉语:详细,详情查看关于轮廓的反义词>>("
"近义词汉语:糖果,糖,糖块英语","近义词汉语:糖果,糖,糖块英语:candy,comfit,confect,confection,confetti,goody,sweet,sweetmeat德语:Bonbon,Konfekt,Süssigkeit,Zucker,Zuckerbonbon法语:bonbon,friandise西班牙语:bombón,caramelo,confite("
"近义词汉语:结束,收束,终止,收场,完结,收摊儿,了结,了却,终了,告终,了局,了事,完毕,完竣,告竣,竣工,停当,煞尾,收尾,扫尾,利落,终结,为止,截止,毕,罢,讫,完,结,收,煞,了,央,阕,一了百了,寿终正寝,查讫,得了,善终,了断,说尽,草草收场,殆尽俄语","近义词汉语:结束,收束,终止,收场,完结,收摊儿,了结,了却,终了,告终,了局,了事,完毕,完竣,告竣,竣工,停当,煞尾,收尾,扫尾,利落,终结,为止,截止,毕,罢,讫,完,结,收,煞,了,央,阕,一了百了,寿终正寝,查讫,得了,善终,了断,说尽,草草收场,殆尽俄语:закончить,завершить,кончить,заключительный法语:terminer,finir英语:end,finish,terminate,close,fulfil,windup,dissolution西班牙语:acabar,cerrar,concluir,conclusión,desenlazar,despachar,fenecer,fenecimiento,fin,finalizar,orillar,rematar,remate,terminación,terminar,ultimar葡萄牙语:acabamento,finalizar,finalização,conclusivo,conclusão,concluir,ponta,fim反义词汉语:开始,开头查看关于截止的反义词>>("
"近义词汉语:护理,看护,守护,照护,护养,医护德语","近义词汉语:护理,看护,守护,照护,护养,医护德语:Pflege,gepflegt,pflegen,betreut英语:nurse,tend,tendandprotect("
"近义词汉语:把,把手,把子,耳子,襻,把儿,靠手,提手,提梁,轩辕汉语:把,把子,捆,束,卷,扎,一小撮,括汉语:把,将,管,拿俄语","近义词汉语:把,把手,把子,耳子,襻,把儿,靠手,提手,提梁,轩辕汉语:把,把子,捆,束,卷,扎,一小撮,括汉语:把,将,管,拿俄语:держатьвруках,взять法语:tenir,saisir,manche,poignée,tige("
"近义词汉语:式样,样式,形式,式,花样,款式,式子,试样,样款,款型法语近义词汉语:礼仪,仪式,仪,式,礼,典,典礼,庆典,仪仗法语","近义词汉语:式样,样式,形式,式,花样,款式,式子,试样,样款,款型法语:type,modèle德语:Schnitt,Form,Muster,Stil,Typ英语:model,pattern,style,type3礼仪近义词汉语:礼仪,仪式,仪,式,礼,典,典礼,庆典,仪仗法语:rites,protocole西班牙语:ceremonia,ceremonial,etiqueta,protocolo德语:Beachtung,Brauch,Etikett,Etikette,Förmlichkeit,Formalität,Nichtbeachtung,Zeremoniell英语:amenity,decorum,etiquette,proprieties,protocol("
"近义词汉语:改进,改善,改良,精益求精,刮垢磨光,更上一层楼葡萄牙语","近义词汉语:改进,改善,改良,精益求精,刮垢磨光,更上一层楼葡萄牙语:melhoramento,melhorar英语:improveon,makebetter,mend德语:aufbessern,besserwerden,Anbau,Besserung,Flickerei,Hebung,Reform,Verbesserung,aufbereiten,verbessern法语:améliorer,perfectionner西班牙语:abonar,hacer,mejora,mejoramiento,mejorar,mejoría,perfeccionamiento,perfeccionar反义词汉语:守旧3变法近义词汉语:变法,维新,改良,变法维新查看关于改良的反义词>>("
"近义词汉语:王子,皇子西班牙语","近义词汉语:王子,皇子西班牙语:infante,príncipe英语:infante,prince德语:Fürst,Prinz("
"近义词汉语:皇帝,帝,王,上,君,天子,天皇,帝王,君王,国王,国君,君主,当今,皇上,圣上,陛下,主公,九五,九五之尊,可汗,单于,大帝,沙皇,天骄,天王,五帝,太岁,王者,至尊,统治者英语","近义词汉语:皇帝,帝,王,上,君,天子,天皇,帝王,君王,国王,国君,君主,当今,皇上,圣上,陛下,主公,九五,九五之尊,可汗,单于,大帝,沙皇,天骄,天王,五帝,太岁,王者,至尊,统治者英语:czar,emperor,kaiser("
"近义词汉语:粒,豆子,砟子,砟,微粒,颗粒,球粒俄语近义词汉语:种子,子实,子粒,种,籽,子,实,粒,米,籽儿,籽粒俄语近义词汉语:颗,粒,发,丸俄语","近义词汉语:粒,豆子,砟子,砟,微粒,颗粒,球粒俄语:зерно,крупинка英语:grain,granule2种子近义词汉语:种子,子实,子粒,种,籽,子,实,粒,米,籽儿,籽粒俄语:семя,семена西班牙语:semen,semilla,simiente德语:Körner,Korn法语:graine,semence英语:germ,pip,seed3颗近义词汉语:颗,粒,发,丸俄语:зерно,зёрнышко德语:ZähleinheitswortfürkleinerundeDinge("
"近义词汉语:善于,长于,擅长,擅,善,工,娴,健,拿手,善用,能征惯战西班牙语近义词汉语:工人,工,工友,老工人俄语","近义词汉语:善于,长于,擅长,擅,善,工,娴,健,拿手,善用,能征惯战西班牙语:amañar,saber3工人近义词汉语:工人,工,工友,老工人俄语:рабочий,рабочие西班牙语:obrero,operario,productor英语:labour,navvy,worker,workingman,workman("
"近义词汉语:升降,起落,起伏,沉降,大起大落,起降,涨落,潮涨潮落,涨跌2升贬近义词汉语:升贬,升降,浮沉,沉浮,与世沉浮,升升降降","近义词汉语:升降,起落,起伏,沉降,大起大落,起降,涨落,潮涨潮落,涨跌2升贬近义词汉语:升贬,升降,浮沉,沉浮,与世沉浮,升升降降("
"近义词汉语:开关,电门,电钮,电键俄语","近义词汉语:开关,电门,电钮,电键俄语:выключатель,рубильник英语:on-off,stopcock,switch西班牙语:interruptor,llave,válvula("
"近义词汉语:收费,收款,收贷俄语","近义词汉语:收费,收款,收贷俄语:брать,взимать,платный法语:percevoirundroit,demanderdel'argent英语:charge,collectfee德语:Aufladung,Gage,Preis,Tarif,kostenpflichtig反义词汉语:免费,没镅查看关于收费的反义词>>("
"近义词汉语:经济,财经,金融俄语","近义词汉语:经济,财经,金融俄语:экономный,экономичный德语:Ökonomie,Wirtschaft,sparsam,wirtschaftlich,rentabel英语:economy,financialcondition,income("
"近义词汉语:凉,凉快,风凉,阴凉,荫凉,凉丝丝,凉飕飕,沁人心脾,凉苏苏,凉溲溲,清凉,秋凉,凉意俄语","近义词汉语:凉,凉快,风凉,阴凉,荫凉,凉丝丝,凉飕飕,沁人心脾,凉苏苏,凉溲溲,清凉,秋凉,凉意俄语:прохладный,холодный德语:kühl,enttäuscht法语:froid,frais,découragé,laisserrefroidir英语:cold,cool,disappointed反义词汉语:闷热,严寒,赤热查看关于清凉的反义词>>("
"近义词汉语:生长,见长,生,长,发育俄语","近义词汉语:生长,见长,生,长,发育俄语:вырасти,расти德语:Wachstum,aufwachsen,wachsen法语:pousser,grandir英语:develop,grow,growup,growth,plant,spring,upgrowth葡萄牙语:crescimento,crescer西班牙语:crecer,dar,medrar,vegetación,vegetar,venir反义词汉语:枯萎,消亡,消灭,死亡查看关于生长的反义词>>("
"近义词汉语:清洁,干净,卫生,整洁,清爽,清新,洁,净,一尘不染,窗明几净,明窗净几,白净净,干干净净,洁净,净化,净空,清爽爽,无污染,清清爽爽德语近义词汉语:舒畅,宽畅,酣畅,欢畅,畅快,痛快,清爽,爽快,松快,好受,好过,得劲,是味儿,舒服,舒适,舒心,快意,适意,痛快淋漓,心旷神怡,赏心悦目,扬眉吐气,痛痛快快,吐气扬眉,飘飘欲仙,如沐春风,如坐春风,如沐春雨法语","近义词汉语:清洁,干净,卫生,整洁,清爽,清新,洁,净,一尘不染,窗明几净,明窗净几,白净净,干干净净,洁净,净化,净空,清爽爽,无污染,清清爽爽德语:Reinheit,Reinlichkeit,Sauberkeit,Säuberungsaktion,aufbereiten,säubern,gereinigt,sauber葡萄牙语:limpar,limpo英语:cleanness,pureness,purgation西班牙语:aseo,curiosidad,higiene,limpieza,pulcritud反义词汉语:肮脏,污秽3舒畅近义词汉语:舒畅,宽畅,酣畅,欢畅,畅快,痛快,清爽,爽快,松快,好受,好过,得劲,是味儿,舒服,舒适,舒心,快意,适意,痛快淋漓,心旷神怡,赏心悦目,扬眉吐气,痛痛快快,吐气扬眉,飘飘欲仙,如沐春风,如坐春风,如沐春雨法语:gai,épanoui反义词汉语:憋闷,苦闷,沉闷,沉郁,忧虑,忧闷,烦闷查看关于清爽的反义词>>("
"近义词汉语:形状,样子,形态,形象,形制,造型,模样,样,形,状,相,貌,象,状貌德语近义词汉语:地形,地势,形势,势,形,山势,地貌俄语近义词汉语:显示,显得,来得,展示,示,显,著,亮,形,出示,呈示,剖示,兆示俄语","近义词汉语:形状,样子,形态,形象,形制,造型,模样,样,形,状,相,貌,象,状貌德语:formen,gestalten,Gebilde西班牙语:forma,formación,hechura英语:appearance,figure,form,shape,turn3地形近义词汉语:地形,地势,形势,势,形,山势,地貌俄语:рельеф,ландшафт,топография,топографический,местность西班牙语:relieve,topografía英语:landform,physique,terrain,topography法语:configuration,topogranphie4显示近义词汉语:显示,显得,来得,展示,示,显,著,亮,形,出示,呈示,剖示,兆示俄语:продемонстрировать,показать英语:show,display,reveal,announce,demonstrate,indicate,manifest,prove法语:montrer,fairepreuvede德语:Anzeige("
"近义词汉语:质量,品质,质,质地,身分,色,成色俄语","近义词汉语:质量,品质,质,质地,身分,色,成色俄语:качество,качественный德语:Qualität,Beschaffenheit,Eigenschaft,Bonität,Masse,Massen...,qualitativ葡萄牙语:qualidade,qualitativo英语:mass,quality("
"近义词汉语:标准,基准,准绳,绳墨,准,法,谱,极,准谱儿,定准,规则,规范,条件,原则,尺度,尺码,准星,格木,参考系,标准化,规格,格,口径,尺度俄语","近义词汉语:标准,基准,准绳,绳墨,准,法,谱,极,准谱儿,定准,规则,规范,条件,原则,尺度,尺码,准星,格木,参考系,标准化,规格,格,口径,尺度俄语:стандарт,норма,критерий,стандартный,нормативный葡萄牙语:padrão,normativo,norma,critério德语:maßgebend,Maßstab,Norm,Regel,Standard西班牙语:criterio,norma,patrón英语:criteria,level,mark,measure,normal,par,rule,standard,criterion("
"近义词汉语:小,微,细,纤,微小,细小,微细,细微,幽微,纤维,纤毫,纤小,短小,矮小,蝇头,一丁点儿,小不点儿,微乎其微,不大,最小,芾,小小,很小,小小的俄语近义词汉语:儿童,孩童,稚童,童稚,童子,孩子,孩儿,孩子家,小儿,小人儿,雏儿,幼儿,娃儿,娃娃,娃子,小子,小小子,竖子,孺子,稚子,童蒙,幼,童,孩,小,孺,囡,小朋友,小不点儿,少年儿童,童男童女,报童,少儿,小孩,小孩子,幼童,小娃,文童,伢儿,女孩儿,毛孩子,小家伙英语近义词汉语:妾,小,姬,小老婆,偏房,侧室,二房,姨太太,姨娘,陪房法语","近义词汉语:小,微,细,纤,微小,细小,微细,细微,幽微,纤维,纤毫,纤小,短小,矮小,蝇头,一丁点儿,小不点儿,微乎其微,不大,最小,芾,小小,很小,小小的俄语:маленький,мелкий,малый法语:petit,jeune德语:klein,einekurzeWeile,geringfügig,unbedeutend,jung,klein,geringfügig,unbedeutend英语:forawhile,little,minor,petty,small,young西班牙语:cuidado,menos,parvedad,pequeñez2儿童近义词汉语:儿童,孩童,稚童,童稚,童子,孩子,孩儿,孩子家,小儿,小人儿,雏儿,幼儿,娃儿,娃娃,娃子,小子,小小子,竖子,孺子,稚子,童蒙,幼,童,孩,小,孺,囡,小朋友,小不点儿,少年儿童,童男童女,报童,少儿,小孩,小孩子,幼童,小娃,文童,伢儿,女孩儿,毛孩子,小家伙英语:children,infant西班牙语:bambino,niño反义词汉语:成人3妾近义词汉语:妾,小,姬,小老婆,偏房,侧室,二房,姨太太,姨娘,陪房法语:concubine,deuxièmeépouse查看关于小的反义词>>("
"近义词汉语:盖,遮盖,覆盖,捂,瓦,苫,捂住,焘汉语:盖,盖子,帽汉语:盖,华盖俄语近义词汉语:遮盖,掩盖,覆盖,被覆,盖,覆,蒙,挂,罩,埋,掩,蔽,蒙面,遮住,披盖,庇,遮荫,幂德语","近义词汉语:盖,遮盖,覆盖,捂,瓦,苫,捂住,焘汉语:盖,盖子,帽汉语:盖,华盖俄语:накрывать,,покрывать,крышка德语:Deckel,Deckung,Lid,oben,toll,Oberteil,aufbauen,bauen,etwasbedecken西班牙语:arropar,cobijar,cubierta,cubrir,tapar英语:about,annex,canopy,casing,cover,lid,shell,top,build3遮盖近义词汉语:遮盖,掩盖,覆盖,被覆,盖,覆,蒙,挂,罩,埋,掩,蔽,蒙面,遮住,披盖,庇,遮荫,幂德语:Verblendung,überdecken,decken,umfassen西班牙语:entapujar,recubrir英语:cover,envelop,hide法语:coucrir,cacher反义词汉语:露出,裸露查看关于覆盖的反义词>>("
"近义词汉语:共同,协同,一同,一道,一起,一齐,一块儿,一路,一头,一并,联合,合伙,伙同,伙,并,合,齐,共,同,旅,偕,合办,齐声,同步,同船,协,一块,联袂,联手,手拉手,联名,同台,联机,协办,同机俄语","近义词汉语:共同,协同,一同,一道,一起,一齐,一块儿,一路,一头,一并,联合,合伙,伙同,伙,并,合,齐,共,同,旅,偕,合办,齐声,同步,同船,协,一块,联袂,联手,手拉手,联名,同台,联机,协办,同机俄语:совместный,общий,совместно,сообща德语:gemeinsam,zusammen,vereint英语:common,jointly,together反义词汉语:独自,独特,单独,特有查看关于联机的反义词>>("
"近义词汉语:室外,露天,窗外,户外法语","近义词汉语:室外,露天,窗外,户外法语:extérieur,audehors,enpleinair("
"近义词汉语:浴室,浴池,澡堂,澡塘,浴场西班牙语","近义词汉语:浴室,浴池,澡堂,澡塘,浴场西班牙语:baño,lluvia,sanitario英语:bath,bathroom("
"近义词汉语:土,土壤,壤,泥土,土体俄语","近义词汉语:土,土壤,壤,泥土,土体俄语:земля,почва法语:terre,sol,poussière德语:Erde,Erde,Boden,Land,unkultiviert英语:dust,earth,ground,homemade,land,local,soil,unrefined("
"近义词汉语:比重,比例,百分比,百分数,分之英语","近义词汉语:比重,比例,百分比,百分数,分之英语:proportion,specificgravity法语:poidsspécifique,proportion德语:Anteil,Mengenverhältnis,Beschränkheit("
"近义词汉语:芝麻油,麻油,香油德语","近义词汉语:芝麻油,麻油,香油德语:Sesam,Sesamöl,ölen("
"近义词汉语:手推车,手车,小车德语","近义词汉语:手推车,手车,小车德语:Laufkatze,Transportkarren,Schubkarre,Trolley法语:brouette,voitureàbras英语:barrow,handcart,pushcart,trolley("
"近义词汉语:证明,证实,证验,验证,印证,说明,应验,证,征,辨证,求证,认证,作证,验明正身德语","近义词汉语:证明,证实,证验,验证,印证,说明,应验,证,征,辨证,求证,认证,作证,验明正身德语:Zeugnis,Nachweis,beweisen葡萄牙语:testemunho,testemunhal,testificar,testificação,provar,prova,certificar,certificatório,certificação英语:prove,certify,argue,demonstrate,justify,manifest,testify,vouch法语:prouver,justifier西班牙语:acreditar,atestación,boleta,certificación,certificar,comprobación,comprobar,constatar,contestar,declarar,demostración,demostrar,fe,probar,prueba("
"近义词汉语:月光,月色,月华,蟾光英语","近义词汉语:月光,月色,月华,蟾光英语:moon,moonbeam,moonlight,moonrise,moonshine德语:Mond,Mondlicht,Mondschein("
"近义词汉语:门面,门脸汉语:门面,伪装,外衣,画皮,假面具,假相,糖衣,门脸儿法语","近义词汉语:门面,门脸汉语:门面,伪装,外衣,画皮,假面具,假相,糖衣,门脸儿法语:facade,devanture,devantd'unemaisondecommerce,face,apparences,honneur英语:appearance,shopfront("
"近义词汉语:光,光线,亮光,光明,光耀,光华,光芒,光焰,光辉,光泽,曜,光柱,强光,光饼,焱,辉俄语近义词汉语:荣誉,荣耀,荣幸,光荣,光彩,光,荣,骄傲,桂冠,殊荣俄语近义词汉语:光滑,光,滑,光溜,光溜溜,滑溜,滑腻,光润,光洁,滑润,溜光,细腻,细润,光乎乎,溜滑,油亮法语近义词汉语:贵,尊,雅,玉,台,华,令,贤,大,高,宝,钧,惠,光,俯,垂,高高,醇雅,俊雅俄语","近义词汉语:光,光线,亮光,光明,光耀,光华,光芒,光焰,光辉,光泽,曜,光柱,强光,光饼,焱,辉俄语:свет,излучение,блеск,сияние法语:lumière,rayon,lustre,gloire英语:light,ray,honour,merely,naked,scenery,smooth德语:Glanz,Ehre,Ruhm,Licht,glatt,blank,nackt,kahl2荣誉近义词汉语:荣誉,荣耀,荣幸,光荣,光彩,光,荣,骄傲,桂冠,殊荣俄语:почёт,слава,честь,почётный葡萄牙语:glória,honroso,honra西班牙语:decoro,gloria,honra英语:credit,glory,honor,honour,kudo,kudos,laurel,luster德语:akzeptieren,annehmen,Auszeichnung,Ehre,Ehrerbietung,ehren,ehrenamtlich,ehrenhaft反义词汉语:羞耻,耻辱3光滑近义词汉语:光滑,光,滑,光溜,光溜溜,滑溜,滑腻,光润,光洁,滑润,溜光,细腻,细润,光乎乎,溜滑,油亮法语:poli,glissant葡萄牙语:liso,alisar德语:Glätte,glatt,schlicht英语:ascleanasawhistle,lubricity反义词汉语:毛糙,粗糙4贵近义词汉语:贵,尊,雅,玉,台,华,令,贤,大,高,宝,钧,惠,光,俯,垂,高高,醇雅,俊雅俄语:дорогой,ценный德语:geehrt,wertvoll,teuer;英语:costly,expensive,noble,precious,valuable法语:cher,coûteux,précieux查看关于光的反义词>>("
"近义词汉语:白,粉,霜,银,雪,素,缟,皓,皑皑,洁白,雪白,粉白,乳白,白净,皎洁,凝脂,白花花,白晃晃,白茫茫,白不呲咧,白皑皑,白乎乎,白净净,细白,嫩白,颢俄语","近义词汉语:白,粉,霜,银,雪,素,缟,皓,皑皑,洁白,雪白,粉白,乳白,白净,皎洁,凝脂,白花花,白晃晃,白茫茫,白不呲咧,白皑皑,白乎乎,白净净,细白,嫩白,颢俄语:белый,седой德语:Schnapps,Weisswein,weiß,hell,weiß,rein,vergebens,kostenlos英语:clear,freeofcharge,invain,pure,white,whiteness西班牙语:blancura,canicie法语:blanc,blanche,gratuit("
"近义词汉语:黑,青,乌,皂,墨,缁,黔,墨黑,漆黑,黢黑,乌黑,乌亮,黝黑,焦黑,黧黑,黑油油,黑黝黝,黑黢黢,黑漆漆,黑糊糊,乌油油,乌溜溜,黑不溜秋,浓黑,油黑,黧,发黑,黢,黑滔滔俄语","近义词汉语:黑,青,乌,皂,墨,缁,黔,墨黑,漆黑,黢黑,乌黑,乌亮,黝黑,焦黑,黧黑,黑油油,黑黝黝,黑黢黢,黑漆漆,黑糊糊,乌油油,乌溜溜,黑不溜秋,浓黑,油黑,黧,发黑,黢,黑滔滔俄语:чёрный,тёмный,мрачный德语:schwarz,dunkel,finster,böse,geheim,illegal,schwarz,dunkel,geheim,illegal,Hei,Heilongjiang("
"近义词汉语:皎洁,皎皎,皓月当空,月明如镜,月光如水,朗,秋月当空法语近义词汉语:响,高,响亮,豁亮,洪亮,嘹亮,琅琅,朗朗,高亢,高昂,响当当,铿锵,铿然,激越,声如洪钟,龙吟虎啸,轰响,宏亮,亢,朗,脆亮,脆响,怒号,鸣笛俄语","近义词汉语:皎洁,皎皎,皓月当空,月明如镜,月光如水,朗,秋月当空法语:clair,brilliant反义词汉语:昏暗,漆黑,暗淡,朦胧3响近义词汉语:响,高,响亮,豁亮,洪亮,嘹亮,琅琅,朗朗,高亢,高昂,响当当,铿锵,铿然,激越,声如洪钟,龙吟虎啸,轰响,宏亮,亢,朗,脆亮,脆响,怒号,鸣笛俄语:звучный,звонкий德语:klingen,tönen,laut,grell,läuten,("
"近义词汉语:皇帝,帝,王,上,君,天子,天皇,帝王,君王,国王,国君,君主,当今,皇上,圣上,陛下,主公,九五,九五之尊,可汗,单于,大帝,沙皇,天骄,天王,五帝,太岁,王者,至尊,统治者英语近义词汉语:帝国主义,帝葡萄牙语","近义词汉语:皇帝,帝,王,上,君,天子,天皇,帝王,君王,国王,国君,君主,当今,皇上,圣上,陛下,主公,九五,九五之尊,可汗,单于,大帝,沙皇,天骄,天王,五帝,太岁,王者,至尊,统治者英语:czar,emperor,kaiser3帝国主义近义词汉语:帝国主义,帝葡萄牙语:imperialista,imperialismo德语:Imperialism,Imperialismus("
"近义词汉语:故居,故宅,旧居,旧宅,老宅,祖居,古堡反义词汉语:新居,新宅,新址","近义词汉语:故居,故宅,旧居,旧宅,老宅,祖居,古堡反义词汉语:新居,新宅,新址查看关于古堡的反义词>>("
"近义词汉语:梅花,梅,花魁,玉骨冰肌","近义词汉语:梅花,梅,花魁,玉骨冰肌("
"近义词汉语:硬,坚,棒,僵,坚硬,硬棒,硬实,强直,僵硬,硬邦邦,梆硬,绷硬,冻僵,干梆梆,硬梆梆,硬邦邦的俄语近义词汉语:到家,过硬,高,深,强,巧,精,神,完,全,圣,硬,棒,通天,鬼斧神工,巧夺天工,出神入化,曲尽其妙,无出其右,骄人,超凡,独领风骚俄语近义词汉语:生硬,勉强,硬,强,生拉硬拽,生搬硬套,生吞活剥俄语近义词汉语:坚强,刚强,顽强,钢铁,不屈,刚烈,刚直,刚毅,沉毅,强项,硬气,烈性,血性,血气,烈,硬,刚,百折不挠,百炼成钢,威武不屈,坚强不屈,坚贞不屈,宁死不屈,不屈不挠,万死不辞,铮铮铁骨,百折不回,不折不挠,穷当益坚,身残志坚,宁为玉碎,毅,忠贞不屈,坚毅不屈俄语","近义词汉语:硬,坚,棒,僵,坚硬,硬棒,硬实,强直,僵硬,硬邦邦,梆硬,绷硬,冻僵,干梆梆,硬梆梆,硬邦邦的俄语:твёрдый,жёсткий,крепкий德语:hart,steif英语:firm,forcedly,forcibly,good,hard,rigidity,stiff,strong,tough法语:dur,ferme,résolu,insensible,impassible,bon,impeccable,forcé,malgrésoi2到家近义词汉语:到家,过硬,高,深,强,巧,精,神,完,全,圣,硬,棒,通天,鬼斧神工,巧夺天工,出神入化,曲尽其妙,无出其右,骄人,超凡,独领风骚俄语:приехать,прибыть英语:beexcellant,beperfect3生硬近义词汉语:生硬,勉强,硬,强,生拉硬拽,生搬硬套,生吞活剥俄语:неловкий,неуклюжий法语:dur,rigide,peunaturel,affecté,forcé英语:angularity,asstiffasapoker,crudeness,crudity反义词汉语:娴熟,流利,熟练,自然,纯熟4坚强近义词汉语:坚强,刚强,顽强,钢铁,不屈,刚烈,刚直,刚毅,沉毅,强项,硬气,烈性,血性,血气,烈,硬,刚,百折不挠,百炼成钢,威武不屈,坚强不屈,坚贞不屈,宁死不屈,不屈不挠,万死不辞,铮铮铁骨,百折不回,不折不挠,穷当益坚,身残志坚,宁为玉碎,毅,忠贞不屈,坚毅不屈俄语:сильный,крепкий,твёрдый英语:iron,strengthen法语:ferme,fort西班牙语:entereza,firmeza德语:eisern,zäh,hartnäckig,festentschlossen,tapfer反义词汉语:软弱,脆弱,懦弱,怯懦查看关于硬的反义词>>("
"近义词汉语:棱锥台,棱台,台式","近义词汉语:棱锥台,棱台,台式("
"近义词汉语:纸,纸张,纸头,笺,楮俄语近义词汉语:张,纸俄语","近义词汉语:纸,纸张,纸头,笺,楮俄语:бумага,бумажный英语:bumf,paper2张近义词汉语:张,纸俄语:раскрывать,открывать德语:ZähleinheitswortfürGegenständemitflacherOberflächez.B.Papier,Tisch,Schallplatte,Briefmarke,Zhāng法语:ouvrir,déployer,regarder,exagérer英语:exaggerate,open,setout,sheet,spread("
"近义词汉语:滚珠,钢珠","近义词汉语:滚珠,钢珠("
"近义词汉语:指纹,螺纹,罗纹,指印,斗箕,脶英语","近义词汉语:指纹,螺纹,罗纹,指印,斗箕,脶英语:dactylogram,fingerprint,prints("
"近义词汉语:制造,制作,造作,打造,制,造,做,打,炮制,筑造俄语近义词汉语:钳制,牵制,制约,牵掣,掣肘,钳,制,制裁英语近义词汉语:制度,制,社会制度法语","近义词汉语:制造,制作,造作,打造,制,造,做,打,炮制,筑造俄语:изготавливать,производить英语:produce,create,fabricate,make,turnoff,turnout葡萄牙语:manufatura,feitura,fabricação,fabricar西班牙语:fábrica,fabricación,fabricar,manufactura法语:fabriquer,manufacturer,créer3钳制近义词汉语:钳制,牵制,制约,牵掣,掣肘,钳,制,制裁英语:clampdownon,suppress4制度近义词汉语:制度,制,社会制度法语:système,régime西班牙语:régimen,sistema英语:institution,system葡萄牙语:institucional,instituição德语:("
"近义词汉语:试用品,试制品,展销品,新品,传销商品2新品种近义词汉语:新品种,新品","近义词汉语:试用品,试制品,展销品,新品,传销商品2新品种近义词汉语:新品种,新品("
"近义词汉语:潮汛,潮信,潮水,潮汐,汐,潮,汛3潮湿近义词汉语:潮湿,濡湿,湿润,回潮,潮乎乎,潮,潮呼呼,汗浸浸,温湿,湿寒,潮润,溽热葡萄牙语近义词汉语:风潮,浪潮,潮,大潮德语近义词汉语:坏,差,次,软,浅,破,糟,鬼,赖,孬,潮,不好,不良,不行,不妙,不善,差劲,稀松,糟糕,蹩脚,涂鸦,窳劣,二五眼,差点儿,驴鸣狗吠,次等,欠佳,不成,莠,二流,次于俄语","近义词汉语:潮汛,潮信,潮水,潮汐,汐,潮,汛3潮湿近义词汉语:潮湿,濡湿,湿润,回潮,潮乎乎,潮,潮呼呼,汗浸浸,温湿,湿寒,潮润,溽热葡萄牙语:umectar,umectação,umidade,umedecer,úmido,umidificar,umidificação德语:Nässe,feucht,klamm,naß,wässerig英语:humidity,aquosity,dewiness,humidification,wateriness反义词汉语:干燥4风潮近义词汉语:风潮,浪潮,潮,大潮德语:SturmundDrang,Kampagne,Kampf英语:agitation,unrest法语:agitation,révolte,trouble5坏近义词汉语:坏,差,次,软,浅,破,糟,鬼,赖,孬,潮,不好,不良,不行,不妙,不善,差劲,稀松,糟糕,蹩脚,涂鸦,窳劣,二五眼,差点儿,驴鸣狗吠,次等,欠佳,不成,莠,二流,次于俄语:плохой,негодный,дурной,порочный,испорченный德语:schlecht,schlimm,defekt,kaputtgegangen,schlecht,defekt,kaputt法语:s'abîmer,sedétériorer,sedétruire葡萄牙语:mal,mau英语:bad,spoil,awfully,evilidea,ruin查看关于潮的反义词>>("
"近义词汉语:衬衣,衬衫英语","近义词汉语:衬衣,衬衫英语:sark,underlinen法语:lingedecorps,sous-vêtement,chemise("
"近义词汉语:修养,涵养,教养汉语:修养,修身,养气,修身养性俄语","近义词汉语:修养,涵养,教养汉语:修养,修身,养气,修身养性俄语:мастерство,подготовка法语:secultiver,faireunecurederepos德语:Ausführung,Fähigkeit,geistig,Selbstkultivierung英语:accomplishment,culture,self-cultivation,training("
